Titre,Sous-titre,Date,Lien
Le vaccino-sceptique Kennedy confirmé comme ministre de la Santé et félicité par le patron de l’OMS,"Le directeur général de l’Organisation mondiale de la santé a félicité ce jeudi 13 février la confirmation de Robert Kennedy Jr. à la tête du ministère américain de la Santé, malgré ses positions antivaccins.",2025-02-13,https://www.liberation.fr/international/amerique/le-vaccino-sceptique-kennedy-confirme-comme-ministre-de-la-sante-et-felicite-par-le-patron-de-loms-20250213_QMXV3WW5CFGANFNIYZ7M2K74AQ/
Grippe et Covid : tout savoir sur la campagne de vaccination annuelle qui débute ce mardi,"Plus de 65 ans, personnes avec comorbidités, immunodéprimées… Plus de 17,2 millions de personnes à risques de forme grave sont appelées à se faire immuniser à partir de ce mardi 15 octobre, jusqu’au 31 janvier.",2024-10-15,https://www.liberation.fr/societe/sante/grippe-et-covid-tout-savoir-sur-la-campagne-de-vaccination-annuelle-qui-debute-ce-mardi-20241015_3ZT3GP6BC5H7RPL4ODYSBAM6TQ/
"Covid-19 : face au déclin de la demande, AstraZeneca retire son vaccin de la vente","Le géant pharmaceutique Astrazeneca, qui était l’un des premiers à avoir mis sur le marché un vaccin contre le Covid-19 pendant la pandémie, a annoncé ce mercredi 8 mai le retirer de la vente, citant des raisons commerciales.",2024-05-08,https://www.liberation.fr/societe/sante/covid-19-face-au-declin-de-la-demande-astrazeneca-retire-son-vaccin-de-la-vente-20240508_L4G2URSJOBH45MABHXCEWNBATM/
Covid-19 : le gouvernement «se tient prêt» à avancer la campagne de vaccination,"Face à la recrudescence de cas de Covid-19, le gouvernement envisage d’avancer la date du début de campagne, pour l’heure fixée au 17 octobre. Il n’y a toutefois pas de durcissement du protocole à l’ordre du jour.",2023-09-05,https://www.liberation.fr/societe/sante/covid-19-le-gouvernement-se-tient-pret-a-avancer-la-campagne-de-vaccination-20230905_YJBSCLLCEREW5NH2S4H2Z27QTU/
"Pfizer a-t-il reconnu un lien entre la mort de Mauricette Doyer, décédée de Creutzfeldt-Jakob, et le vaccin anti-Covid, comme l’affirme son fils?",L’accusation portant sur la mort de cette septuagénaire au printemps 2022 est basée sur un pré-rapport d’expertise judiciaire. Dont les auteurs semblent plutôt affirmer l’inverse.,2024-01-10,https://www.liberation.fr/checknews/pfizer-a-t-il-reconnu-un-lien-entre-la-mort-de-mauricette-doyer-decedee-de-creutzfeldt-jakob-et-le-vaccin-anti-covid-comme-laffirme-son-fils-20240110_HASBIPNW6ZAYJL7FNM3MDTQ4Y4/
"Face aux dangers du Covid, le rapport bénéfice-risque évident du vaccin","Une étude du «Journal of the American Medical Association» vient rappeler ce lundi 26 août les précautions à prendre dans la fabrication des prochains vaccins à ARN messager, sans remettre en cause leur effets positifs globaux.",2024-08-26,https://www.liberation.fr/societe/sante/face-aux-dangers-du-covid-le-rapport-benefice-risque-evident-du-vaccin-20240826_FI5CGG6H2VCZ5ERJMK2SX5E4UM/
Vaccination contre la grippe : «L’objectif est avant tout de protéger les plus fragiles contre les formes sévères»,"En pleine épidémie, l’infectiologue Anne-Claude Crémieux insiste sur l’importance du vaccin chez les personnes fragiles pour limiter les formes graves, alors que la maladie est à l’origine d’environ 9 000 morts par an.",2025-01-10,https://www.liberation.fr/societe/sante/vaccination-contre-la-grippe-lobjectif-est-avant-tout-de-proteger-les-plus-fragiles-contre-les-formes-severes-20250110_IESHAVCRBVGC3DMZFN5EEINMPM/
Covid-19 : Booba relaie la théorie de Marc Doyer sur le lien entre vaccin et maladie de Creutzfeldt-Jakob,"Fort de plus de 6 millions de followers sur le réseau social X, le rappeur y a affirmé que le pourfendeur de Pfizer, qui considère que le vaccin anti-Covid est responsable du décès de sa femme, «dit la vérité».",2024-01-19,https://www.liberation.fr/checknews/covid-19-booba-relaie-la-theorie-de-marc-doyer-sur-le-lien-entre-vaccin-et-maladie-de-creutzfeldt-jakob-20240119_T7K7UR2P6FARVF2PKGSRM6K754/
Covid-19 : le vaccin perd-il en efficacité si les rappels sont trop rapprochés ?,"Si des vaccinations trop rapprochées avec un même vaccin ne semblent pas délétères, espacer les rappels de plusieurs mois améliorerait la qualité de la réponse immunitaire, selon l’Agence européenne du médicament.",2022-12-21,https://www.liberation.fr/checknews/covid-19-le-vaccin-perd-il-en-efficacite-si-les-rappels-sont-trop-rapproches-20221221_V66FLSDM2JHSPDYDPKXVAAKHX4/
Pourquoi la création d’un prix à la mémoire de Michèle Rivasi suscite-t-elle la controverse ?,Le lancement d’un prix destiné à mettre en avant «les lanceurs d’alertes» nourrit des critiques car il porte le nom d’une eurodéputée (morte fin 2023) coutumière de prises de position en franche contradiction avec les faits scientifiques.,2024-12-21,https://www.liberation.fr/checknews/pourquoi-la-creation-dun-prix-a-la-memoire-de-michele-rivasi-suscite-t-elle-la-controverse-20241221_E5PI7BY6QZGQLAEZQKBJ226GIQ/
Covid-19 : éviter les non-dits sur les effets indésirables du vaccin,"Christian Lehmann est médecin et écrivain. Pour «Libération», il tient la chronique d’une société suspendue à l’évolution du coronavirus. Aujourd’hui, il exhorte les responsables publics à communiquer sur les effets indésirables du vaccin.",2021-11-19,https://www.liberation.fr/societe/sante/covid-19-eviter-les-non-dits-sur-les-effets-indesirables-du-vaccin-20211119_XFBRIBSH45HU7JGKVXYNRB3BCI/
Covid-19 : la vaccination des enfants à risque recommandée dès 6 mois,"La Haute autorité de santé ouvre la porte à un vaccin anti-Covid, celui de Pfizer /BioNTech, pour les enfants de 6 mois à quatre ans. Une première en France.",2022-12-19,https://www.liberation.fr/societe/sante/covid-19-la-vaccination-des-enfants-a-risque-recommandee-des-6-mois-20221219_HZSAFGPPC5CHDOVSHG5F4RN2GY/
Peut-on affirmer comme Aurélien Rousseau qu’il n’y a «pas d’effets secondaires» avec les vaccins anti-Covid?,"Si les effets secondaires les plus préoccupants restent rares, voire très rares, leur imputation à la vaccination est bel et bien confirmée par la pharmacovigilance. N’en déplaise au ministre de la Santé.",2023-10-04,https://www.liberation.fr/checknews/peut-on-affirmer-comme-aurelien-rousseau-quil-ny-a-pas-deffets-secondaires-avec-les-vaccins-anti-covid-20231004_MI4NIZHAXBGBJNREEXGJFHV4AQ/
"Grippe, Covid-19, bronchiolite… En cette saison de vaccinations, quelles piqûres et pour qui ?",La campagne annuelle contre la grippe saisonnière qui s’ouvre ce mardi 17 octobre complète la liste des injections proposées aux Français cet automne. «Libé» fait le point pour s’y retrouver.,2023-10-17,https://www.liberation.fr/societe/sante/grippe-covid-19-bronchiolite-en-cette-saison-de-vaccinations-quelles-piqures-et-pour-qui-20231017_PVO4YPJN6VAXJFXLWZGWTNJN6A/
"Vaccin obligatoire dans l’armée américaine, la justice refuse le couvre-feu à Barcelone, vaccination dans les écoles en Israël... Le point sur la pandémie de Covid-19",Toutes les infos de ce lundi à retenir sur la pandémie liée au coronavirus.,2021-08-23,https://www.liberation.fr/societe/sante/vaccin-obligatoire-dans-larmee-americaine-la-justice-refuse-le-couvre-feu-a-barcelone-vaccination-dans-les-ecoles-en-israel-le-point-sur-la-pandemie-de-covid-19-20210823_7CG2KW67CVFSBOHVVLFRZGNZO4/
Covid-19 : campagne de vaccination à ARN messager pour 20 000 Allemands en Chine,Une campagne de vaccination Pfizer BioNTech contre le coronavirus va démarrer pour 20 000 Allemands résidant en Chine. Ce vaccin a jusqu’à présent très peu été utilisé dans le pays.,2022-12-21,https://www.liberation.fr/international/asie-pacifique/covid-19-campagne-de-vaccination-a-arn-messager-pour-20000-allemands-en-chine-20221221_ENQ46IJ7XFHRXMCG7KI6YZN5SE/
"Covid-19 : la campagne de vaccination avancée au 2 octobre, sur fond de reprise épidémique en France","Le rappel vaccinal  ciblera essentiellement les plus de 65 ans, les personnes fragiles, atteintes de comorbidités, les femmes enceintes, les résidents d’Ehpad et les personnes vivant au contact de personnes fragiles.",2023-09-15,https://www.liberation.fr/societe/sante/covid-19-la-campagne-de-vaccination-avancee-au-2-octobre-sur-fond-de-reprise-epidemique-en-france-20230915_LC7BQLVR6FA6LAIJCRXSTBXJVM/
Covid-19 : qui peut se faire vacciner ?,"Ce 2 octobre, face à la reprise de l’épidémie de Covid-19, le gouvernement lance une nouvelle campagne de vaccination ciblée sur les populations les plus à risque et avec de nouveaux vaccins. «Libé» fait le point.",2023-10-01,https://www.liberation.fr/societe/sante/covid-19-quels-vaccins-par-qui-et-pour-qui-20231001_WFX3V4VFYVDYFDNX5BOLYMSOZY/
Covid-19 pendant les JO : «Tester tout le monde n’est pas la meilleure chose à faire»,"Malgré une hausse des suspicions de cas au mois de juin, les indicateurs montrent que la tendance s’inverse en juillet. «Une bonne chose à la veille des Jeux» pour le professeur Yazdan Yazdanpanah, directeur de l’ANRS.",2024-07-11,https://www.liberation.fr/societe/sante/covid-19-pendant-les-jo-tester-tout-le-monde-nest-pas-la-meilleure-chose-a-faire-20240711_XJMMYOSZFVEFHAMMYBIV53ZAGY/
"Les vaccins ont sauvé au moins 154 millions de vies depuis 50 ans, selon l’OMS","L’étude de l’OMS, publiée ce mercredi 24 avril, montre que les vaccins ont directement contribué à réduire la mortalité infantile de 40 % dans le monde et de plus de 50 % dans la région africaine.",2024-04-24,https://www.liberation.fr/societe/sante/les-vaccins-ont-sauve-au-moins-154-millions-de-vies-depuis-50-ans-selon-loms-20240424_HFQBHXRP6BHIVPJ4X2CH7P3CWE/
Covid-19: le régulateur européen autorise un vaccin Pfizer contre des sous-variants d’omicron,Un nouveau vaccin devrait bientôt être disponible afin de cibler les sous-lignages d’omicron. Il devrait être prêt pour la campagne de rappels de cet hiver.,2022-09-12,https://www.liberation.fr/societe/sante/covid-19-le-regulateur-europeen-autorise-un-vaccin-pfizer-contre-des-sous-variants-domicron-20220912_WLNWXLGDKVEEVPEYYRFR7ABGOY/
"Covid-19: la huitième vague se confirme, le gouvernement s’en tient aux vaccins",L’accélération de la reprise épidémique entamée début septembre n’entraîne pour le moment pas d’autres mesures qu’une campagne de vaccination centrée sur les plus fragiles.,2022-09-23,https://www.liberation.fr/societe/sante/covid-19-la-huitieme-vague-se-confirme-le-gouvernement-sen-tient-aux-vaccins-20220923_GV2SQNNAYZC6TEGHVVBTPV4LXE/
Covid-19: la HAS préconise une campagne de rappel avec les nouveaux vaccins bivalents,"Pour faire face à la nouvelle reprise épidémique de Covid-19, la Haute autorité de santé valide les nouveaux vaccins bivalents pour la campagne de rappel de cet automne.",2022-09-20,https://www.liberation.fr/societe/sante/covid-19-la-has-preconise-une-campagne-de-rappel-avec-les-nouveaux-vaccins-bivalents-20220920_4Q62SVH7IBHDNKSW3WKSDSYJRQ/
Un hôpital a-t-il organisé un concours de la «seringue d’or» pour inciter à la vaccination?,"Une élue Rassemblement national a dénoncé sur X une initiative que plusieurs internautes ont pris pour une intox. La campagne de com, bien réelle, a été suspendue depuis.",2024-11-18,https://www.liberation.fr/checknews/un-hopital-a-t-il-organise-un-concours-de-la-seringue-dor-pour-inciter-a-la-vaccination-20241118_UNONIOIDF5DJHJP472K4DDMH6I/
Covid-19 : la Haute Autorité de santé donne son feu vert à la vaccination de tous les 5-11 ans,"Après le Comité consultatif national d’éthique la semaine dernière, c’est au tour de la HAS d’approuver ce lundi la vaccination contre le Covid-19 pour tous les enfants de plus de 5 ans.",2021-12-20,https://www.liberation.fr/societe/sante/covid-19-la-haute-autorite-de-sante-donne-son-feu-vert-a-la-vaccination-de-tous-les-5-11-ans-20211220_6PEX567GYBGDFOERXRJPMJY52I/
"Covid-19: la vaccination peut perturber le cycle menstruel mais sans réelle gravité, selon une étude","Une analyse américaine se veut rassurante sur les effets du vaccin sur les règles des femmes. Une perturbation est parfois observée, mais seulement d’une journée en moyenne.",2022-01-07,https://www.liberation.fr/societe/sante/covid-19-la-vaccination-peut-perturber-le-cycle-menstruel-mais-sans-reelle-gravite-selon-une-etude-20220107_W4PRMVG3QBAPPCWDESXZ3PWJEM/
L’Oniam pourra-t-il indemniser les victimes d’effets secondaires imputables au vaccin contre le Covid-19?,"L’Oniam indemnise les préjudices liés aux vaccins obligatoires, mais peut aussi intervenir dans le cadre de mesures sanitaires d’urgence.",2022-01-26,https://www.liberation.fr/checknews/loniam-pourra-t-il-indemniser-les-victimes-deffets-secondaires-imputables-au-vaccin-contre-le-covid-19-20220126_PS72S2SZARHKVBT7DESP667HSM/
Covid-19: le vaccin de Pfizer jugé «efficace» pour les moins de 5 ans,"Les laboratoires Pfizer-BioNTech viennent de faire un pas vers la légalisation du vaccin pour les moins de 5 ans, décrétant ce lundi que les 3 doses étaient «sûres et efficaces».",2022-05-23,https://www.liberation.fr/societe/sante/covid-19-le-vaccin-de-pfizer-juge-efficace-pour-les-moins-de-5-ans-20220523_NOLXNYDDTFEQVOTRUG6Y6F7TJQ/
Covid-19: les nouveaux vaccins bivalents préconisés pour la campagne de rappel,"Ces vaccins, approuvés par l’Agence européenne du médicament, sont «mieux adaptés» aux souches virales en circulation, détaille la Haute Autorité de santé dans un avis rendu ce mardi.",2022-09-20,https://www.liberation.fr/societe/sante/covid-19-les-nouveaux-vaccins-bivalents-preconises-pour-la-campagne-de-rappel-20220920_YU5AGJS4PRA4HDLKQRURNUUZGA/
Covid-19 : campagne poussive pour la quatrième dose de vaccin en France,"Relancée début octobre avec des vaccins ciblés sur les nouveaux variants, l’injection d’un deuxième rappel pour les plus de 60 ans, population principalement concernée, n’a pour l’heure séduit qu’un peu plus d’un tiers d’entre eux.",2022-11-14,https://www.liberation.fr/checknews/covid-19-campagne-poussive-pour-la-quatrieme-dose-de-vaccin-en-france-20221114_LW6B7APGSNH4ZAFJ2366X3EKHE/
Crise du Covid : 67 millions d’enfants dans le monde ont été privés de vaccins vitaux,"Un rapport de l’Unicef mercredi 19 avril pointe du doigt les contraintes subies par les systèmes de santé de nombreux pays du monde, causant un retour en arrière sans précédent en termes de vaccination infantile.",2023-04-20,https://www.liberation.fr/societe/sante/crise-du-covid-67-millions-denfants-dans-le-monde-ont-ete-prives-de-vaccins-vitaux-20230420_RQXJJZ7AJNFRHJVF6ALSC4WMXA/
"Covid : Sanofi renonce à son vaccin et va commercialiser celui de son concurrent américain, Novavax","Le laboratoire français retire son produit, qu’il avait tardé à développer, en raison d’une chute de la demande. Il va tenter de combiner celui de son concurrent américain avec son propre vaccin contre la grippe.",2024-05-10,https://www.liberation.fr/societe/sante/covid-sanofi-renonce-a-son-vaccin-et-va-commercialiser-celui-de-son-concurrent-americain-novavax-20240510_T4YSYVIIHJC3FHCDJWCH2A2IVM/
L’OMS a-t-elle critiqué l’efficacité des vaccins contre le Covid-19 ?,"Un groupe d’experts de l’Organisation mondiale de la santé, chargé de l’analyse de l’efficacité des vaccins face aux variants, a appelé les laboratoires à produire des vaccins plus performants contre la transmission du Covid-19.",2022-01-12,https://www.liberation.fr/checknews/loms-a-t-elle-a-critique-lefficacite-des-vaccins-contre-le-covid-19-20220112_SZ77DXWPBRB5TKZDPJH6EHBG2E/
"Covid-19 : le nouveau variant «Pirola» efficacement bloqué par le vaccin Moderna, selon les premiers tests","Le vaccin mis à jour par le laboratoire américain génère une multiplication par 8,7 des anticorps neutralisants face au nouveau variant BA.2.86, d’après les premiers essais cliniques rendus publics ce mercredi 6 septembre.",2023-09-06,https://www.liberation.fr/societe/sante/covid-19-le-nouveau-variant-pirola-efficacement-bloque-par-le-vaccin-moderna-selon-les-premiers-tests-20230906_EO3J4RON2BDBZAA3JWGKXFJH6Y/
Olivier Véran peut-il affirmer qu’il n’y a aucun décès «imputable à la vaccination» contre le Covid-19 en France ?,"Selon la pharmacovigilance, 1 224 cas de décès ont été signalés suite à l’injection d’un vaccin contre le Covid-19 depuis le début de la vaccination. Mais leur imputabilité aux vaccins n’est pas avérée.",2021-10-25,https://www.liberation.fr/checknews/olivier-veran-peut-il-affirmer-quil-ny-a-aucun-deces-imputable-a-la-vaccination-contre-le-covid-19-en-france-20211025_WUX4X43XIVEUJK4IVVSVSMMOBQ/
Covid-19 : pourquoi les commandes de vaccins par les pharmaciens et médecins ont-elles chuté de 27% ?,"Alors que face à l’explosion des cas de Covid-19, l’exécutif souhaite accélérer encore le rythme de la campagne vaccinale, certains professionnels de santé de ville commandent actuellement moins de doses que les semaines précédentes.",2022-01-05,https://www.liberation.fr/checknews/covid-19-pourquoi-les-commandes-de-vaccins-par-les-pharmaciens-et-medecins-ont-elles-chute-de-27-20220105_TN66YJI2YRFZNMXKHLD5BRFBLI/
Covid-19 : l’OMS déconseille-t-elle la vaccination des enfants ?,"Une erreur du «Point» est à l’origine d’une fausse information, selon laquelle l’OMS demanderait d’éviter la vaccination des enfants.",2021-12-09,https://www.liberation.fr/checknews/covid-19-loms-deconseille-t-elle-la-vaccination-des-enfants-20211209_VH3HUFBTWFHKFP5B5X4CQ6EJEE/
Covid : ne délaissons pas la vaccination !,"Christian Lehmann est médecin et écrivain. Pour «Libération», il tient la chronique régulière d’une société traversée par le coronavirus.",2023-02-25,https://www.liberation.fr/societe/sante/covid-ne-delaissons-pas-la-vaccination-20230225_MCBS7ZJLYJB2TIPQ62KQQSQ3Z4/
Covid-19 : le vaccin Moderna est-il «le plus efficace dans le temps» ?,"Différentes études récemment publiées confirment que l’efficacité du produit de la biotech américaine diminue dans le temps, mais peu et moins que les autres vaccins. Un constat qui pourrait évoluer sous l’effet des variants émergents.",2021-12-06,https://www.liberation.fr/checknews/le-vaccin-moderna-est-il-le-plus-efficace-dans-le-temps-20211206_OHPFUB7U7FCTJFZFJXA2FAOJE4/
Covid-19: une infection après primo-vaccination compte-t-elle pour un rappel?,"Désormais, une personne infectée après avoir suivi un schéma vaccinal complet n’est plus obligée de recevoir une dose de rappel pour conserver son pass vaccinal.",2022-02-03,https://www.liberation.fr/checknews/covid-19-une-infection-apres-primo-vaccination-compte-t-elle-pour-un-rappel-20220202_MNFTGC76XZHUJO6GD6FHMDPQFY/
Résurgence du Covid-19 : «La priorité est de comprendre le nouveau variant et préparer la campagne de vaccination»,"La présidente du Covars, Brigitte Autran, fait le point avec Libération sur la situation épidémiologique en France.",2023-08-22,https://www.liberation.fr/societe/sante/resurgence-du-covid-la-priorite-est-de-comprendre-le-nouveau-variant-et-preparer-la-campagne-de-vaccination-20230822_ENQW5OW3IJCOFOYRJWHABCC2II/
"Vaccination contre le Covid-19: enfants partout, créneaux nulle part","Plus de deux semaines après l’ouverture de la vaccination des enfants, et au moment où ils n’ont jamais été aussi nombreux à être contaminés et hospitalisés, les places disponibles pour l’injection manquent cruellement, partout en France.",2022-01-07,https://www.liberation.fr/societe/vaccination-contre-le-covid-19-enfants-partout-creneaux-nulle-part-20220107_A7ITCWN2JNG45GCB6ZTYXZJWQI/
Covid-19: crispations et silences autour de la vaccination et du télétravail des forces de l’ordre,"Policiers et gendarmes ne sont pas soumis aux mêmes obligations concernant la vaccination, et ces disparités créent des tensions internes. Par ailleurs, le télétravail, qui doit être privilégié, est loin d’être appliqué.",2022-01-25,https://www.liberation.fr/societe/police-justice/covid-19-crispations-et-silences-autour-de-la-vaccination-et-du-teletravail-des-forces-de-lordre-20220125_KY6P2KN7DRAFTIGDGRHOR7V2K4/
"Covid-19 : pas besoin d’une nouvelle dose de vaccin pour les adultes en bonne santé, selon l’OMS","L’organisme mondial estime que les bénéfices pour la santé sont minimes. En revanche, il recommande fortement la deuxième dose de rappel pour les personnes les plus à risques.",2023-03-29,https://www.liberation.fr/societe/sante/covid-pas-besoin-dune-nouvelle-dose-de-vaccin-pour-les-adultes-en-bonne-sante-selon-loms-20230329_KEHSUOCWSBA4HLBI4GUBS5N5DQ/
"Covid-19 : le vaccin, perturbateur «potentiel» du cycle menstruel","Règles plus longues ou plus courtes, en avance ou en retard, plus abondantes : des femmes évoquent de plus en plus l’effet qu’aurait le vaccin sur leur cycle menstruel. «Rien d’inquiétant», selon les gynécologues.",2021-08-04,https://www.liberation.fr/societe/covid-19-le-vaccin-perturbateur-potentiel-du-cycle-menstruel-20210804_KWM2O23HTRDQJJQEJIDK7WJYEY/
"Covid-19 : les Etats-Unis autorisent pleinement le vaccin Pfizer, qui devient obligatoire dans l’armée","Ce lundi, les Etats-Unis ont pleinement approuvé le vaccin de l’alliance Pfizer-BioNTech pour les personnes de 16 ans et plus, une décision qui devrait aider à renforcer les efforts de vaccination dans le pays.",2021-08-23,https://www.liberation.fr/societe/sante/covid-19-les-etats-unis-autorisent-pleinement-le-vaccin-pfizer-qui-devient-obligatoire-dans-larmee-20210823_P74OS3XYHFFARPG6T62F5JD7OQ/
Covid-19 : «La vaccination aurait déjà permis d’éviter environ 50 000 morts en France»,"Une équipe de chercheurs a modélisé ce qu’aurait été l’épidémie en France cette année sans la vaccination. Le pays aurait déploré deux fois plus de morts et de personnes en réanimation selon Samuel Alizon, co-auteur de cette étude.",2021-08-31,https://www.liberation.fr/societe/sante/covid-19-la-vaccination-aurait-deja-permis-deviter-environ-50-000-morts-en-france-20210831_OC6ZY5FAFBA6NI7CDB6KZO4RKI/
Vaccins contre le Covid-19 : le grand récap,Quels sérums sont autorisés ? Pour quel public ? Avec quels risques ? Sont-ils efficaces ? Comment fonctionnent-ils ? Et sur les variants ? «Libé» fait le point.,2021-08-10,https://www.liberation.fr/societe/sante/vaccins-contre-le-covid-19-le-grand-recap-20210520_WTUTQ7JXSRC5LKE34NJCV6G5KY/
Covid-19 : la vaccination conduit-elle à rendre un test PCR positif ?,"Plusieurs internautes assurent qu’après un vaccin, un test de recherche du sars-Cov-2 sera concluant. C'est faux.",2021-05-26,https://www.liberation.fr/checknews/covid-19-la-vaccination-conduit-elle-a-rendre-un-test-pcr-positif-20210526_NRNVMLPAUVG3FD7B56GP3IHQKA/
Covid-19 : où en est la campagne de vaccination en France ?,"Avec près des trois-quarts de la population ayant reçu une première dose, le pays se classe désormais parmi les plus vaccinés au monde. Mais le rythme des injections a nettement ralenti depuis le milieu de l’été.",2021-09-01,https://www.liberation.fr/checknews/covid-19-ou-en-est-la-campagne-de-vaccination-en-france-20210901_C34XX63KLZAQ7PEYAEKODC4OOQ/
