ID,Titre,Sous-titre,Date,Lien
LIB_2022_043,Covid-19 : campagne poussive pour la quatrième dose de vaccin en France,"Relancée début octobre avec des vaccins ciblés sur les nouveaux variants, l’injection d’un deuxième rappel pour les plus de 60 ans, population principalement concernée, n’a pour l’heure séduit qu’un peu plus d’un tiers d’entre eux.",2022-11-14,https://www.liberation.fr/checknews/covid-19-campagne-poussive-pour-la-quatrieme-dose-de-vaccin-en-france-20221114_LW6B7APGSNH4ZAFJ2366X3EKHE/
LIB_2023_044,Crise du Covid : 67 millions d’enfants dans le monde ont été privés de vaccins vitaux,"Un rapport de l’Unicef mercredi 19 avril pointe du doigt les contraintes subies par les systèmes de santé de nombreux pays du monde, causant un retour en arrière sans précédent en termes de vaccination infantile.",2023-04-20,https://www.liberation.fr/societe/sante/crise-du-covid-67-millions-denfants-dans-le-monde-ont-ete-prives-de-vaccins-vitaux-20230420_RQXJJZ7AJNFRHJVF6ALSC4WMXA/
LIB_2024_045,"Covid : Sanofi renonce à son vaccin et va commercialiser celui de son concurrent américain, Novavax","Le laboratoire français retire son produit, qu’il avait tardé à développer, en raison d’une chute de la demande. Il va tenter de combiner celui de son concurrent américain avec son propre vaccin contre la grippe.",2024-05-10,https://www.liberation.fr/societe/sante/covid-sanofi-renonce-a-son-vaccin-et-va-commercialiser-celui-de-son-concurrent-americain-novavax-20240510_T4YSYVIIHJC3FHCDJWCH2A2IVM/
LIB_2022_046,L’OMS a-t-elle critiqué l’efficacité des vaccins contre le Covid-19 ?,"Un groupe d’experts de l’Organisation mondiale de la santé, chargé de l’analyse de l’efficacité des vaccins face aux variants, a appelé les laboratoires à produire des vaccins plus performants contre la transmission du Covid-19.",2022-01-12,https://www.liberation.fr/checknews/loms-a-t-elle-a-critique-lefficacite-des-vaccins-contre-le-covid-19-20220112_SZ77DXWPBRB5TKZDPJH6EHBG2E/
LIB_2023_047,"Covid-19 : le nouveau variant «Pirola» efficacement bloqué par le vaccin Moderna, selon les premiers tests","Le vaccin mis à jour par le laboratoire américain génère une multiplication par 8,7 des anticorps neutralisants face au nouveau variant BA.2.86, d’après les premiers essais cliniques rendus publics ce mercredi 6 septembre.",2023-09-06,https://www.liberation.fr/societe/sante/covid-19-le-nouveau-variant-pirola-efficacement-bloque-par-le-vaccin-moderna-selon-les-premiers-tests-20230906_EO3J4RON2BDBZAA3JWGKXFJH6Y/
LIB_2021_048,Olivier Véran peut-il affirmer qu’il n’y a aucun décès «imputable à la vaccination» contre le Covid-19 en France ?,"Selon la pharmacovigilance, 1 224 cas de décès ont été signalés suite à l’injection d’un vaccin contre le Covid-19 depuis le début de la vaccination. Mais leur imputabilité aux vaccins n’est pas avérée.",2021-10-25,https://www.liberation.fr/checknews/olivier-veran-peut-il-affirmer-quil-ny-a-aucun-deces-imputable-a-la-vaccination-contre-le-covid-19-en-france-20211025_WUX4X43XIVEUJK4IVVSVSMMOBQ/
LIB_2022_049,Covid-19 : pourquoi les commandes de vaccins par les pharmaciens et médecins ont-elles chuté de 27% ?,"Alors que face à l’explosion des cas de Covid-19, l’exécutif souhaite accélérer encore le rythme de la campagne vaccinale, certains professionnels de santé de ville commandent actuellement moins de doses que les semaines précédentes.",2022-01-05,https://www.liberation.fr/checknews/covid-19-pourquoi-les-commandes-de-vaccins-par-les-pharmaciens-et-medecins-ont-elles-chute-de-27-20220105_TN66YJI2YRFZNMXKHLD5BRFBLI/
LIB_2021_050,Covid-19 : l’OMS déconseille-t-elle la vaccination des enfants ?,"Une erreur du «Point» est à l’origine d’une fausse information, selon laquelle l’OMS demanderait d’éviter la vaccination des enfants.",2021-12-09,https://www.liberation.fr/checknews/covid-19-loms-deconseille-t-elle-la-vaccination-des-enfants-20211209_VH3HUFBTWFHKFP5B5X4CQ6EJEE/
LIB_2023_051,Covid : ne délaissons pas la vaccination !,"Christian Lehmann est médecin et écrivain. Pour «Libération», il tient la chronique régulière d’une société traversée par le coronavirus.",2023-02-25,https://www.liberation.fr/societe/sante/covid-ne-delaissons-pas-la-vaccination-20230225_MCBS7ZJLYJB2TIPQ62KQQSQ3Z4/
LIB_2021_052,Covid-19 : le vaccin Moderna est-il «le plus efficace dans le temps» ?,"Différentes études récemment publiées confirment que l’efficacité du produit de la biotech américaine diminue dans le temps, mais peu et moins que les autres vaccins. Un constat qui pourrait évoluer sous l’effet des variants émergents.",2021-12-06,https://www.liberation.fr/checknews/le-vaccin-moderna-est-il-le-plus-efficace-dans-le-temps-20211206_OHPFUB7U7FCTJFZFJXA2FAOJE4/
