Titre,Sous-titre,Date,Lien
"Plus de 10 000 faux passes sanitaires, 400 000 euros de recettes sur un carnet de comptes… Une équipe de petits arnaqueurs devant la justice","Onze personnes – rabatteurs sur les réseaux sociaux, intermédiaires ou celles et ceux qui aident au blanchiment – ont été mises en examen dans cette affaire qui a démarré en août 2021.",2022-11-08,https://www.lemonde.fr/societe/article/2022/11/08/plus-de-10-000-faux-passes-sanitaires-400-000-euros-de-recettes-sur-un-carnet-de-comptes-une-equipe-de-petits-arnaqueurs-devant-la-justice_6148940_3224.html
"Outre le Covid-19 et la grippe saisonnière, les pharmaciens peuvent désormais administrer une dizaine de vaccins","Le projet de loi de financement de la Sécurité sociale, adopté en première lecture, prévoit que ces professionnels puissent bientôt prescrire des vaccins.",2022-11-07,https://www.lemonde.fr/societe/article/2022/11/07/outre-le-covid-19-et-la-grippe-saisonniere-les-pharmaciens-peuvent-desormais-administrer-une-dizaine-de-vaccins_6148817_3224.html
Vaccins contre le Covid-19 : les saignements menstruels reconnus comme un effet indésirable potentiel,De nombreuses patientes avaient témoigné de ces effets secondaires. Près de 3 500 signalements ont été déposés auprès de l’Agence nationale de sécurité du médicament entre juillet et septembre.,2022-10-28,https://www.lemonde.fr/planete/article/2022/10/28/vaccins-contre-le-covid-19-les-saignements-menstruels-reconnus-comme-un-effet-indesirable-potentiel_6147783_3244.html
La réponse de Facebook au flot de messages antivaccination a été mal ciblée,"Facebook Files | D’après des documents internes, le réseau social a vite réagi contre les messages antivaccination. Mais les outils mis en place n’ont pas suffi à endiguer les nombreux messages problématiques.",2021-10-27,https://www.lemonde.fr/pixels/article/2021/10/27/contre-les-messages-antivaccination-l-approche-en-plusieurs-doses-de-facebook_6100011_4408996.html
"Les recommandations du Covars : pas d’obligation de port du masque ou de vaccination, mais une responsabilisation de chacun face au Covid-19",Le successeur du conseil scientifique conseille de clarifier les messages de prévention pour mieux « responsabiliser la population » alors que la huitième vague de contaminations semble refluer.,2022-10-24,https://www.lemonde.fr/planete/article/2022/10/24/port-du-masque-rappels-vaccinaux-tests-les-premieres-recommandations-du-covars-successeur-du-conseil-scientifique_6147170_3244.html
Elections au Brésil : le camp de Bolsonaro s’empare de Sao Paulo,Un partisan du président sortant devient gouverneur de l’Etat le plus riche du Brésil.,2022-10-31,https://www.lemonde.fr/international/article/2022/10/31/elections-au-bresil-le-camp-de-bolsonaro-s-empare-de-sao-paulo_6147992_3210.html
Vaccin contre la grippe : Sanofi détient à lui seul un tiers du marché,"Le laboratoire tricolore est le champion mondial de la vaccination antigrippale et continue d’innover sur ce produit, alors que la traditionnelle campagne annuelle a commencé le 18 octobre dans l’Hexagone.",2022-10-18,https://www.lemonde.fr/economie/article/2022/10/18/vaccin-contre-la-grippe-sanofi-detient-a-lui-seul-un-tiers-du-marche_6146315_3234.html
"Covid-19 : face à une huitième vague sévère, l’Allemagne songe à étendre la liste des lieux où le masque est obligatoire","Au cours des dix premiers jours d’octobre, le nombre de patients atteints du Covid-19 en soins intensifs a quasiment été multiplié par deux dans le pays.",2022-10-15,https://www.lemonde.fr/planete/article/2022/10/15/covid-19-face-a-une-huitieme-vague-severe-l-allemagne-songe-a-etendre-la-liste-des-lieux-ou-le-masque-est-obligatoire_6145941_3244.html
​​Prévention du cancer du col de l’utérus : les raisons d’un échec,"La vaccination et le dépistage pour prévenir les cancers du col de l’utérus progressent à très petits pas en France, bien loin derrière nos voisins européens. Méfiance, manque d’information, imbroglio institutionnel : la marge de progression est grande.",2022-10-17,https://www.lemonde.fr/sciences/article/2022/10/17/prevention-du-cancer-du-col-de-l-uterus-itineraire-d-un-echec_6146187_1650684.html
Vaccin contre le Covid-19 : les femmes qui subissent des troubles menstruels sont invitées à les déclarer,"De multiples témoignages évoquent des anomalies du cycle des règles après une vaccination contre le Covid, mais les autorités sanitaires n’ont, pour l’heure, pas établi de lien de cause à effet.",2022-07-19,https://www.lemonde.fr/sante/article/2022/07/19/vaccin-contre-le-covid-19-les-femmes-qui-subissent-des-troubles-menstruels-sont-invitees-a-les-declarer_6135417_1651302.html
"« On a parfois l’impression que mon fils nous fait un cadeau en nous confiant ses enfants » : avec le confinement, des grands-parents très sollicités","La vaccination a permis de mobiliser papy et mamie pour la garde des enfants. Mais les grands-parents d’aujourd’hui, qui avaient changé les codes de la parentalité en devenant parents, ne sont pas encore au clair sur ceux de la grand-parentalité.",2021-04-22,https://www.lemonde.fr/m-perso/article/2021/04/22/on-a-parfois-l-impression-que-mon-fils-nous-fait-un-cadeau-en-nous-confiant-ses-enfants-avec-le-confinement-des-grands-parents-tres-sollicites_6077696_4497916.html
"Covid-19 : les Etats-Unis autorisent le vaccin de Novavax, qui utilise une technique plus classique que l’ARN messager",Cette décision fournit une option supplémentaire pour convaincre les réticents dans un pays où le taux de vaccination adulte stagne autour de 77 %.,2022-07-14,https://www.lemonde.fr/planete/article/2022/07/14/covid-19-les-etats-unis-autorisent-le-vaccin-novavax-qui-utilise-une-technique-plus-classique-que-l-arn-messager_6134696_3244.html
"Covid-19 : la nouvelle campagne de vaccination va commencer, avec des vaccins « bivalents » adaptés au variant Omicron",Les plus de 60 ans et personnes vulnérables sont appelés à recevoir une nouvelle dose dans un contexte de reprise épidémique.,2022-09-30,https://www.lemonde.fr/planete/article/2022/09/30/covid-19-les-vaccins-adaptes-a-omicron-disponibles-en-france-des-le-3-octobre_6143768_3244.html
Covid-19 : une huitième vague d’ampleur modérée,"En pleine reprise épidémique, le port obligatoire du masque dans certains lieux fait de nouveau débat.",2022-10-07,https://www.lemonde.fr/planete/article/2022/10/07/covid-19-une-huitieme-vague-d-ampleur-moderee_6144838_3244.html
Vaccins contre le Covid-19 : une nouvelle vague d’intox,"Alors que la campagne de vaccination contre la maladie est relancée, de nouvelles études sont brandies sans rigueur par les antivax sur les réseaux sociaux.",2022-09-30,https://www.lemonde.fr/les-decodeurs/article/2022/09/30/vaccins-contre-le-covid-19-une-nouvelle-vague-d-etudes-trompeuses_6143859_4355770.html
Covid-19 : la HAS recommande la vaccination des seniors et des personnes fragiles contre les sous-variants d’Omicron dès le 18 octobre,"La Haute Autorité de santé a recommandé, mardi, l’usage des nouveaux vaccins développés par Pfizer et Moderna. Elle conseille de coupler cette campagne de vaccination à celle contre la grippe saisonnière.",2022-09-21,https://www.lemonde.fr/planete/article/2022/09/21/covid-19-feu-vert-en-france-pour-les-vaccins-adaptes-aux-sous-variants-d-omicron_6142472_3244.html
Covid-19 : la Haute Autorité de santé donne son autorisation à trois vaccins adaptés au variant Omicron,"A l’instar de l’accord de l’autorité européenne, l’avis de la HAS est favorable à l’utilisation en France des vaccins bivalents, qui ciblent autant la souche originelle du virus que son variant le plus diffusé.",2022-09-20,https://www.lemonde.fr/planete/article/2022/09/20/covid-19-la-haute-autorite-de-sante-donne-son-autorisation-a-trois-vaccins-adaptes-au-variant-omicron_6142438_3244.html
"Covid-19 : en France, une reprise épidémique annonce la huitième vague","Après la décrue estivale, les taux d’incidence sont repartis à la hausse à la faveur de la rentrée scolaire. L’impact de ce nouvel épisode paraît difficile à anticiper.",2022-09-20,https://www.lemonde.fr/planete/article/2022/09/20/covid-19-en-france-une-reprise-epidemique-annonce-la-huitieme-vague_6142339_3244.html
Covid-19 : l’Agence européenne des médicaments autorise un nouveau vaccin de Pfizer ciblant des sous-variants d’Omicron,"Le nouveau vaccin du laboratoire, version adaptée du premier qu’il a développé contre le Covid-19, à ARN messager, cible « les sous-variants d’Omicron BA.4 et BA.5 en plus de la souche originale ».",2022-09-12,https://www.lemonde.fr/sante/article/2022/09/12/covid-19-l-agence-europeenne-des-medicaments-autorise-un-nouveau-vaccin-de-pfizer-ciblant-des-sous-variants-d-omicron_6141306_1651302.html
Variole du singe : l’épidémie reflue grâce à la vaccination et à l’évolution des comportements,"Transmission, réservoir animal et protection vaccinale : de nombreuses études montrent que la maladie n’a toutefois pas encore révélé tous ses mystères.",2022-09-14,https://www.lemonde.fr/planete/article/2022/09/14/variole-du-singe-l-epidemie-reflue-grace-a-la-vaccination-et-a-l-evolution-des-comportements_6141526_3244.html
La Corée du Nord va vacciner sa population contre le Covid-19,"Kim Jong-un avait affirmé, en août, que le pays avait vaincu l’épidémie. Les statistiques avancées par Pyongyang, qui possède l’un des pires systèmes de santé au monde, sont remises depuis longtemps en cause.",2022-09-09,https://www.lemonde.fr/international/article/2022/09/09/la-coree-du-nord-va-vacciner-sa-population-contre-le-covid-19_6140932_3210.html
Paludisme : les résultats d’un vaccin suscitent l’espoir d’un déploiement massif,"Ce vaccin, développé par des scientifiques de l’Université d’Oxford, pourrait entraîner une diminution de 70 % des décès d’ici à 2030.",2022-09-08,https://www.lemonde.fr/afrique/article/2022/09/08/paludisme-les-resultats-d-un-vaccin-suscitent-l-espoir-d-un-deploiement-massif_6140703_3212.html
Covid-19 : les Etats-Unis recommandent les vaccins ciblant le variant Omicron,"Mise au point par Pfizer et par Moderna, cette nouvelle génération de vaccins dits « bivalents » cible à la fois la souche originelle du coronavirus et les lignages BA.4 et BA.5 du variant Omicron.",2022-09-02,https://www.lemonde.fr/planete/article/2022/09/02/covid-19-les-etats-unis-recommandent-les-vaccins-ciblant-omicron_6139881_3244.html
Covid-19 : que peut-on espérer des nouveaux vaccins adaptés à Omicron ?,"L’Agence européenne des médicaments a donné son accord pour l’utilisation des vaccins bivalents de Moderna et de Pfizer, qui visent à la fois la souche ancestrale du virus et le sous-variant BA.1.",2022-09-02,https://www.lemonde.fr/planete/article/2022/09/02/covid-19-que-peut-on-esperer-des-nouveaux-vaccins-adaptes-a-omicron_6139889_3244.html
Covid-19 : l’Agence européenne des médicaments autorise les vaccins de Pfizer et Moderna contre Omicron,"Ces vaccins sont des versions adaptées des vaccins originaux des deux laboratoires. Ils ciblent le sous-variant d’Omicron BA.1 mais pas encore les BA.4 et BA.5, souches plus contagieuses et désormais dominantes dans le monde.",2022-09-01,https://www.lemonde.fr/planete/article/2022/09/01/covid-19-l-agence-europeenne-des-medicaments-autorise-les-vaccins-de-pfizer-et-moderna-contre-omicron_6139837_3244.html
Novak Djokovic privé de l’US Open faute de vaccin contre le Covid-19,"Le joueur de tennis serbe a annoncé, jeudi, qu’il ne pouvait se rendre aux Etats-Unis, où un passeport vaccinal est exigé, pour disputer le dernier tournoi du Grand Chelem de la saison, qui démarre le 29 août.",2022-08-25,https://www.lemonde.fr/sport/article/2022/08/25/novak-djokovic-prive-de-l-us-open-faute-de-vaccin-contre-le-covid-19_6139016_3242.html
"Variole du singe : la vaccination en pharmacie, en expérimentation, objet d’une « forte attente » chez les publics cibles","A Lille, depuis le 10 août, une pharmacie teste, comme quatre autres en France, la faisabilité d’une vaccination contre le virus Monkeypox dans ces officines.",2022-08-20,https://www.lemonde.fr/planete/article/2022/08/20/variole-du-singe-la-vaccination-en-pharmacie-en-experimentation-objet-d-une-forte-attente-chez-les-publics-cibles_6138545_3244.html
"A Toulouse, l’Etat engage des procédures contre une campagne d’affichage des antivax","Apparues début juillet sur des terrains privés de la ville, une dizaine d’affiches dénonçaient la vaccination contre le Covid-19. La préfecture a lancé une procédure administrative et un signalement au procureur de la République. Les annonceurs et l’afficheur ont trois jours pour les retirer.",2022-08-23,https://www.lemonde.fr/societe/article/2022/08/23/a-toulouse-l-etat-engage-des-procedures-contre-une-campagne-d-affichage-des-antivax_6138781_3224.html
