Titre;Sous-titre;Date;Lien
Épidémies : la grippe gagne du terrain, le pic de bronchiolite est passé;Alors que l'épidémie de bronchiolite a connu une ampleur inédite cette année, que le Covid-19 est encore présent, la grippe touche désormais toute la métropole.;14/12/2022;https://sante.lefigaro.fr/epidemies-la-grippe-gagne-du-terrain-le-pic-de-bronchiolite-est-passe-20221214
Le Covid-19, troisième cause de décès en France en 2020;70.000 personnes sont mortes du coronavirus dans l'Hexagone en 2020. Cela représente 10% des décès dans le pays cette année-là.;14/12/2022;https://sante.lefigaro.fr/social/sante-publique/le-covid-19-troisieme-cause-de-deces-en-france-en-2020-20221214
Covid-19 : est-il trop tard pour se faire de nouveau vacciner avant Noël ?;FOCUS - A l'approche des fêtes de fin d'année, la campagne de rappel pour la quatrième dose bat son plein. Le temps presse pour ceux qui souhaitent être pleinement protégés avant le 25 décembre.;13/12/2022;https://www.lefigaro.fr/sciences/covid-19-est-il-trop-tard-pour-se-faire-de-nouveau-vacciner-avant-noel-20221213
Covid-19 : la campagne de vaccination repart à la hausse à l'approche de Noël;En moyenne lissée sur une semaine, le nombre de rappels vaccinaux adaptés à Omicron a été multiplié par 1,6. Une hausse notamment liée à l'approche des fêtes de fin d'année.;13/12/2022;https://www.lefigaro.fr/sciences/covid-19-la-campagne-de-vaccination-repart-a-la-hausse-a-l-approche-de-noel-20221213
Les Français favorables au retour du masque obligatoire dans l’espace public;SONDAGE - Les Français se disent inquiets pour la situation sanitaire globale du pays, selon un sondage Odoxa/Backbone Consulting pour Le Figaro.;11/12/2022;https://www.lefigaro.fr/sciences/les-francais-favorables-au-retour-du-masque-obligatoire-dans-l-espace-public-20221211
Covid-19 : le Paxlovid désormais prescrit par «ordonnance conditionnelle», de quoi s'agit-il ?;FOCUS - Pour lutter contre la reprise épidémique, les médecins peuvent prescrire ce médicament de manière préventive dès ce samedi 10 décembre.;10/12/2022;https://www.lefigaro.fr/sciences/covid-19-le-paxlovid-desormais-prescrit-par-ordonnance-conditionnelle-de-quoi-s-agit-il-20221210
Covid-19, ce qu'il faut savoir cette semaine : encore un Noël avec le Covid;Alors que la circulation du virus, dopée par l'hiver, reprend, le gouvernement insiste sur les gestes barrières et la vaccination.;09/12/2022;https://sante.lefigaro.fr/covid-19-ce-qu-il-faut-savoir-cette-semaine-encore-un-noel-avec-le-covid-20221209
Covid-19 : François Braun tiendra une conférence de presse ce vendredi à 17h;Selon le porte-parole du gouvernement Olivier Véran, le ministre de la Santé devrait faire preuve de «pédagogie».;09/12/2022;https://www.lefigaro.fr/actualite-france/covid-19-francois-braun-tiendra-une-conference-de-presse-ce-vendredi-a-17h-20221209
Jacques-Olivier Martin: «Les nouveaux horizons de la médecine»;Le Big Bang Santé du Figaro s'est déroulé du 29 novembre au 1er décembre. Au menu, les progrès de la recherche contre le cancer, le développement de la télémédecine et le chantier de la prévention en France.;08/12/2022;https://www.lefigaro.fr/demain/sante/jacques-olivier-martin-les-nouveaux-horizons-de-la-medecine-20221208
Covid-19 : douze associations de malades appellent au retour du masque obligatoire dans certains lieux;Selon elles, les incitations du gouvernement pour que la population reporte le masque dans les transports en commun ont une «efficacité très limitée».;08/12/2022;https://www.lefigaro.fr/sciences/covid-19-douze-associations-de-malades-appellent-au-retour-du-masque-obligatoire-dans-certains-lieux-20221208
Covid-19 : la barre des 100.000 cas quotidiens de nouveau franchie;Ce seuil n'avait plus été dépassé depuis juillet dernier. Sur une semaine glissante, 57.952 nouveaux cas ont été confirmés au 6 décembre.;07/12/2022;https://www.lefigaro.fr/sciences/covid-19-la-barre-des-100-000-cas-quotidiens-de-nouveau-franchie-20221207
Covid-19 : qui est concerné par la 4e dose de vaccin ?;FOCUS - Le ministre de la Santé a jugé ce dimanche «insuffisant» le nombre de personnes à jour de leur deuxième rappel vaccinal.;04/12/2022;https://www.lefigaro.fr/sciences/covid-19-etes-vous-concerne-par-le-rappel-automnal-de-vaccination-20221204
Covid-19 : montée des cas, masque facultatif, faible vaccination... Est-il trop tard pour passer un Noël tranquille ?;DÉCRYPTAGE - Le nombre de cas quotidiens de coronavirus continue de progresser, alors que le gouvernement incite au port du masque et pousse les personnes fragiles à se refaire vacciner.;06/12/2022;https://www.lefigaro.fr/sciences/covid-19-montee-des-cas-masque-facultatif-faible-vaccination-est-il-trop-tard-pour-passer-un-noel-tranquille-20221206
Covid-19 : la Tunisie lève ses dernières restrictions pour les voyageurs;Désormais, les visiteurs souhaitant entrer dans le pays n'auront plus à présenter de test négatif ou d'attestation de vaccination.;05/12/2022;https://www.lefigaro.fr/voyages/covid-19-la-tunisie-leve-ses-dernieres-restrictions-pour-les-voyageurs-20221205
Grippe : la France doit «redoubler d'efforts» sur la vaccination, selon l'OCDE;Alors que l'épidémie de grippe est officiellement arrivée en France le 30 novembre dernier, l'OCDE appelle à la plus grande vigilance face au retard de la campagne vaccinale.;05/12/2022;https://sante.lefigaro.fr/grippe-la-france-doit-redoubler-d-efforts-sur-la-vaccination-selon-l-ocde-20221205
Hôpitaux : «C'est la crise de l'ensemble du système de santé français», estime Arnaud Robinet;Face à la triple épidémie de Covid, grippe et bronchiolite, l'hôpital public doit une nouvelle fois réagir «dans l'urgence», a déploré le président de la Fédération hospitalière de France ce samedi sur France Inter.;03/12/2022;https://www.lefigaro.fr/actualite-france/hopitaux-c-est-la-crise-de-l-ensemble-du-systeme-de-sante-francais-estime-arnaud-robinet-20221203
Cabinets de conseil : «Nous avons basculé dans la République des post-it»;ENTRETIEN - Dans «Consultocratie», Simon Woillet revient sur les raisons de l'influence grandissante des cabinets de conseil dans la prise de décision publique. Selon lui, le recours systématique au «consulting» nous relègue dans un rôle de «citoyen-consommateur» et affaiblit notre vie politique.;01/12/2022;https://www.lefigaro.fr/vox/politique/cabinets-de-conseil-nous-avons-bascule-dans-la-republique-des-post-it-20221201
Covid-19 : quel est ce sous-variant BQ.1.1, à l'origine de la neuvième vague ?;FOCUS - Ce sous-variant d'Omicron progresse rapidement parmi les sous-lignages en circulation en France. Il serait plus contagieux que l'actuel sous-variant BA.5, qui circule majoritairement dans le pays.;01/12/2022;https://www.lefigaro.fr/actualite-france/covid-19-quel-est-ce-sous-variant-bq-1-1-a-l-origine-de-la-neuvieme-vague-20221201
Loire-Atlantique : imbroglio au sujet d'une femme mariée à son insu en raison d'une erreur administrative;À Saint-Nazaire, une femme a découvert que son acte de naissance mentionne un mariage avec un parfait inconnu il y a treize ans. La mairie reconnaît une « mauvaise inscription » et s'active pour régler le problème auprès d'elle.;01/12/2022;https://www.lefigaro.fr/actualite-france/loire-atlantique-imbroglio-au-sujet-d-une-femme-mariee-a-son-insu-en-raison-d-une-erreur-administrative-20221201
Quelles sont les 7 principales maladies infantiles ?;Bronchiolite, gastro, varicelle… ces maladies ressurgissent chaque année et touchent des milliers d'enfants. Bénignes la plupart du temps, elles restent néanmoins très contagieuses et peuvent conduire à de graves complications.;08/11/2022;https://sante.lefigaro.fr/quelles-sont-les-7-principales-maladies-infantiles-20221108
«Ceci sera mon dernier tweet»: Moby quitte Twitter en dénonçant l'antisémitisme de Musk;Le musicien américain de 57 ans dénonce un réseau social qu'il juge devenir l'antre du racisme, de l'antisémitisme et de la désinformation.;01/12/2022;https://www.lefigaro.fr/musique/ceci-sera-mon-dernier-tweet-moby-quitte-twitter-en-denoncant-l-antisemitisme-de-musk-20221201
Covid-19, ce qu'il faut savoir cette semaine : le virus frappe encore;Alors que l'hôpital risque l'engorgement avec les épidémies hivernales, la première ministre a recommandé le port du masque dans les transports.;01/12/2022;https://sante.lefigaro.fr/covid-19-ce-qu-il-faut-savoir-cette-semaine-le-virus-frappe-encore-20221201
Brève SANOFI du 30/11/2022 : Conservez;Conseil portant sur la valeur SANOFI (FR0000120578) publié dans la Lettre des Placements n°2000 du 30/11/2022.Objectif à 12 mois : 105€risque modéré Le laboratoire pharmaceutique, qui vient d’intégrer...;30/11/2022;https://bourse.lefigaro.fr/lettre-des-placements/conseils/35370
Le gouvernement Borne en zone de turbulences;Affaire Caroline Cayeux, cacophonie au sein du gouvernement, motions de censure à répétition... La première ministre connaît des moments de tensions à Matignon.;28/11/2022;https://www.lefigaro.fr/politique/le-gouvernement-borne-en-zone-de-turbulences-20221128
